,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
148,"(5, (0.5, 0.5), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.625,0.71875,0.73,0.64,0.73,0.7299999999999999,0.6043956043956044,0.7032967032967034,0.73
149,"(5, (0.5, 0.5), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.7086999022482893,0.7815249266862171,0.77,0.7133333333333333,0.77,0.7699999999999999,0.707522535225979,0.7729099426565976,0.77
150,"(5, (0.5, 0.5), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7450980392156863,0.8088235294117646,0.8,0.7399999999999999,0.8,0.8000000000000002,0.7305582051344763,0.7953934013256049,0.8
151,"(5, (0.5, 0.5), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.7806349206349207,0.8304761904761904,0.82,0.7666666666666666,0.82,0.82,0.7544444444444444,0.8108333333333334,0.82
152,"(5, (0.5, 0.5), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6507936507936508,0.7276785714285714,0.72,0.6533333333333333,0.72,0.72,0.6512642792966243,0.7231420870234886,0.72
153,"(5, (0.5, 0.5), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,0.6989610389610389,0.7692207792207791,0.77,0.7000000000000001,0.77,0.7699999999999999,0.6981372942593337,0.7686029706945001,0.77
154,"(5, (0.5, 0.5), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.7014936600042984,0.7708010960670535,0.76,0.7066666666666667,0.76,0.76,0.697504970309805,0.7602421297942094,0.76
155,"(5, (0.5, 0.5), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6546897546897547,0.7296536796536796,0.7,0.6533333333333333,0.7,0.7,0.6461815191694934,0.708040394696269,0.7
156,"(5, (0.5, 0.5), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6433853938597771,0.703692891548679,0.71,0.64,0.71,0.7100000000000001,0.6339869281045752,0.7009803921568627,0.71
157,"(5, (0.5, 0.5), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.5903703703703703,0.6872222222222223,0.66,0.5866666666666667,0.66,0.66,0.586347687400319,0.6713397129186603,0.66
158,"(5, (0.5, 0.5), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.587571255022895,0.6784833193159518,0.63,0.5800000000000001,0.63,0.63,0.5788680455347123,0.6484367484367485,0.63
159,"(5, (0.5, 0.5), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.5856737679397778,0.6841532851385068,0.68,0.5866666666666667,0.68,0.68,0.5848556486854359,0.6810659789383194,0.68
160,"(5, (0.5, 0.5), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7592063492063493,0.8144047619047619,0.8,0.7399999999999999,0.8,0.8000000000000002,0.7271150343281491,0.7903362757461119,0.8
161,"(5, (0.5, 0.5), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.4184676434676435,0.4869276556776556,0.45,0.42,0.45,0.45,0.4080442924605114,0.4577186126038104,0.45
162,"(5, (0.5, 0.5), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.4401002506265665,0.5208646616541354,0.48,0.4466666666666666,0.48,0.48,0.42820996029951247,0.48593019749736166,0.48
163,"(5, (0.5, 0.5), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.5425130425130426,0.6184232434232434,0.57,0.54,0.57,0.57,0.5338967149878527,0.5858157946678557,0.57
164,"(5, (0.5, 0.5), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.6258530444576956,0.6845060624130391,0.65,0.62,0.65,0.65,0.6077717346003167,0.6547535321330332,0.65
165,"(5, (0.5, 0.5), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.6189088689088689,0.7013611388611389,0.65,0.62,0.65,0.65,0.610920636777223,0.666055646122243,0.65
166,"(5, (0.5, 0.5), (200, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.6435043653088766,0.7122201107163514,0.7,0.6333333333333333,0.7,0.7,0.6163135110503531,0.6895078605604921,0.7
167,"(5, (0.5, 0.5), (200, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.6547314578005116,0.7247442455242967,0.71,0.66,0.71,0.7100000000000001,0.6501490897677339,0.7115701506591339,0.71
168,"(5, (0.6, 0.4), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.6400638293221413,0.7251459112072922,0.73,0.64,0.73,0.7299999999999999,0.6396735261761469,0.7272798971073577,0.73
169,"(5, (0.6, 0.4), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7138157894736842,0.7853618421052632,0.78,0.7133333333333333,0.78,0.78,0.7071593124224703,0.7778442317916003,0.78
170,"(5, (0.6, 0.4), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.741296518607443,0.795768307322929,0.79,0.7399999999999999,0.79,0.79,0.7283896266947115,0.7836659573947711,0.79
171,"(5, (0.6, 0.4), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.7007947639083684,0.7755960729312763,0.76,0.7066666666666667,0.76,0.76,0.7003968253968255,0.7648809523809524,0.76
172,"(5, (0.6, 0.4), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7323304034257382,0.7894438810006761,0.79,0.7266666666666667,0.79,0.79,0.7259014790367925,0.7870003667033368,0.79
173,"(5, (0.6, 0.4), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6595932802829355,0.7446949602122015,0.72,0.66,0.72,0.72,0.657837403967435,0.730220158238734,0.72
174,"(5, (0.6, 0.4), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8313725490196079,0.8686274509803922,0.85,0.7999999999999999,0.85,0.85,0.7952872405884657,0.8439901829165968,0.85
175,"(5, (0.6, 0.4), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.6553416638523021,0.7361870989530565,0.73,0.6666666666666666,0.73,0.7299999999999999,0.6512933216121899,0.7255833932709982,0.73
176,"(5, (0.6, 0.4), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6916821273964131,0.7636595547309832,0.76,0.6933333333333334,0.76,0.76,0.65998445998446,0.7374125874125874,0.76
177,"(5, (0.6, 0.4), (100, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7238247863247863,0.7876602564102564,0.78,0.7266666666666666,0.78,0.78,0.7249566493263973,0.7835134053621448,0.78
178,"(5, (0.6, 0.4), (100, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7534722222222223,0.8053002450980392,0.8,0.7399999999999999,0.8,0.8000000000000002,0.736130755932736,0.7946723243752944,0.8
179,"(5, (0.6, 0.4), (100, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.7001541782300339,0.7697964847363552,0.76,0.7066666666666667,0.76,0.76,0.7009996875976258,0.762863167760075,0.76
180,"(5, (0.6, 0.4), (100, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6964573268921095,0.7669082125603864,0.75,0.7000000000000001,0.75,0.75,0.6971153846153846,0.7572115384615384,0.75
181,"(5, (0.6, 0.4), (100, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7673992673992674,0.815934065934066,0.8,0.7333333333333334,0.8,0.8000000000000002,0.7244582043343653,0.7884416924664602,0.8
182,"(5, (0.6, 0.4), (150, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.5392255892255892,0.6032828282828283,0.59,0.5533333333333333,0.59,0.59,0.5377230037850896,0.5894624656047747,0.59
183,"(5, (0.6, 0.4), (150, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.5853202431042543,0.6455119214586256,0.63,0.5866666666666667,0.63,0.63,0.5833333333333334,0.6354166666666667,0.63
184,"(5, (0.6, 0.4), (150, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.5987928061098793,0.6747043606799704,0.63,0.5933333333333334,0.63,0.63,0.5904221989414687,0.6461133525028048,0.63
185,"(5, (0.6, 0.4), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.5961489340799685,0.6860005894488654,0.66,0.5933333333333334,0.66,0.66,0.5929671673737721,0.6710411650040133,0.66
186,"(5, (0.6, 0.4), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6891114883984154,0.7518336162988115,0.75,0.6866666666666666,0.75,0.75,0.6823809523809524,0.7467857142857143,0.75
187,"(5, (0.6, 0.4), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7449280034386417,0.8033768536428112,0.79,0.7466666666666667,0.79,0.79,0.7386288528129978,0.7910850416716041,0.79
