S No.,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
424,"(10, (0.1, 0.9), (200, 500))",1,1,1,1,1,1,1,1,1,1,1,0.772020725,0.750760184,0.767254733,0.772020725,0.742063602,0.772020725,0.772020725,0.743810977,0.767489113,0.772020725
425,"(10, (0.2, 0.8), (50, 200))",1,1,1,1,1,1,1,1,1,1,1,0.678756477,0.652717653,0.697807086,0.678756477,0.647172598,0.678756477,0.678756477,0.646103896,0.684964,0.678756477
426,"(10, (0.2, 0.8), (50, 250))",1,1,1,1,1,1,1,1,1,1,1,0.621761658,0.57231267,0.615639537,0.621761658,0.582246686,0.621761658,0.621761658,0.573012779,0.614746808,0.621761658
427,"(10, (0.2, 0.8), (50, 300))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.660964998,0.66097738,0.668393782,0.626726017,0.668393782,0.668393782,0.625139353,0.647690055,0.668393782
428,"(10, (0.2, 0.8), (50, 350))",1,1,1,1,1,1,1,1,1,1,1,0.611398964,0.547953216,0.578870752,0.611398964,0.563617696,0.611398964,0.611398964,0.551792687,0.590737598,0.611398964
429,"(10, (0.2, 0.8), (50, 400))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.63933674,0.647048049,0.668393782,0.63342408,0.668393782,0.668393782,0.626617635,0.647386962,0.668393782
430,"(10, (0.2, 0.8), (50, 450))",1,1,1,1,1,1,1,1,1,1,1,0.683937824,0.65698825,0.666165034,0.683937824,0.651392008,0.683937824,0.683937824,0.647675575,0.668243634,0.683937824
431,"(10, (0.2, 0.8), (50, 500))",1,1,1,1,1,1,1,1,1,1,1,0.626943005,0.586087278,0.598632307,0.626943005,0.586609171,0.626943005,0.626943005,0.576772196,0.60284421,0.626943005
432,"(10, (0.2, 0.8), (100, 200))",1,1,1,1,1,1,1,1,1,1,1,0.616580311,0.563630179,0.581265537,0.616580311,0.579701793,0.616580311,0.616580311,0.56488762,0.591333552,0.616580311
433,"(10, (0.2, 0.8), (100, 250))",1,1,1,1,1,1,1,1,1,1,1,0.663212435,0.631473102,0.678670512,0.663212435,0.628295875,0.663212435,0.663212435,0.624683947,0.666405899,0.663212435
434,"(10, (0.2, 0.8), (100, 300))",1,1,1,1,1,1,1,1,1,1,1,0.67357513,0.634221526,0.675037764,0.67357513,0.636112049,0.67357513,0.67357513,0.634115859,0.673364338,0.67357513
435,"(10, (0.2, 0.8), (100, 350))",1,1,1,1,1,1,1,1,1,1,1,0.637305699,0.589480874,0.629466434,0.637305699,0.600980334,0.637305699,0.637305699,0.590176481,0.628650723,0.637305699
436,"(10, (0.2, 0.8), (100, 400))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.651112663,0.688812937,0.689119171,0.655611417,0.689119171,0.689119171,0.650325875,0.686161394,0.689119171
437,"(10, (0.2, 0.8), (100, 450))",1,1,1,1,1,1,1,1,1,1,1,0.658031088,0.605515757,0.646361216,0.658031088,0.614652015,0.658031088,0.658031088,0.608393113,0.65044677,0.658031088
438,"(10, (0.2, 0.8), (100, 500))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.68128655,0.680574493,0.689119171,0.651353589,0.689119171,0.689119171,0.651082777,0.670539307,0.689119171
439,"(10, (0.2, 0.8), (150, 200))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.621605714,0.655144064,0.668393782,0.635864317,0.668393782,0.668393782,0.622776822,0.655948739,0.668393782
440,"(10, (0.2, 0.8), (150, 250))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.644720965,0.672005486,0.689119171,0.654702621,0.689119171,0.689119171,0.646267806,0.676815021,0.689119171
441,"(10, (0.2, 0.8), (150, 300))",1,1,1,1,1,1,1,1,1,1,1,0.766839378,0.745131579,0.766317835,0.766839378,0.73267757,0.766839378,0.766839378,0.734607719,0.763008549,0.766839378
442,"(10, (0.2, 0.8), (150, 350))",1,1,1,1,1,1,1,1,1,1,1,0.772020725,0.742511671,0.764784981,0.772020725,0.729147043,0.772020725,0.772020725,0.72838664,0.762300618,0.772020725
443,"(10, (0.2, 0.8), (150, 400))",1,1,1,1,1,1,1,1,1,1,1,0.751295337,0.739467717,0.742338823,0.751295337,0.720355835,0.751295337,0.751295337,0.721959804,0.738925752,0.751295337
444,"(10, (0.2, 0.8), (150, 450))",1,1,1,1,1,1,1,1,1,1,1,0.704663212,0.671564327,0.687231843,0.704663212,0.67601958,0.704663212,0.704663212,0.668244915,0.689800792,0.704663212
445,"(10, (0.2, 0.8), (150, 500))",1,1,1,1,1,1,1,1,1,1,1,0.74611399,0.745215037,0.74569427,0.74611399,0.70685505,0.74611399,0.74611399,0.710425469,0.73253694,0.74611399
446,"(10, (0.2, 0.8), (200, 200))",1,1,1,1,1,1,1,1,1,1,1,0.689119171,0.653283276,0.674552244,0.689119171,0.649965225,0.689119171,0.689119171,0.647954558,0.678550954,0.689119171
447,"(10, (0.2, 0.8), (200, 250))",1,1,1,1,1,1,1,1,1,1,1,0.735751295,0.711586972,0.728687293,0.735751295,0.705400446,0.735751295,0.735751295,0.706512277,0.73051225,0.735751295
448,"(10, (0.2, 0.8), (200, 300))",1,1,1,1,1,1,1,1,1,1,1,0.766839378,0.746763995,0.757925821,0.766839378,0.737558042,0.766839378,0.766839378,0.73903479,0.759368235,0.766839378
449,"(10, (0.2, 0.8), (200, 350))",1,1,1,1,1,1,1,1,1,1,1,0.756476684,0.733372593,0.752989289,0.756476684,0.7148143,0.756476684,0.756476684,0.714034936,0.746509424,0.756476684
450,"(10, (0.2, 0.8), (200, 400))",1,1,1,1,1,1,1,1,1,1,1,0.668393782,0.646171171,0.659084862,0.668393782,0.617587717,0.668393782,0.668393782,0.610428237,0.646052067,0.668393782
451,"(10, (0.2, 0.8), (200, 450))",1,1,1,1,1,1,1,1,1,1,1,0.735751295,0.715482305,0.726065709,0.735751295,0.706931887,0.735751295,0.735751295,0.707874261,0.727631433,0.735751295
